com,reg,dep,libelle,d_nccenr,d_libelle,r_nccenr,r_libelle
1151,84,1,Druillat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1152,84,1,Échallon,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1153,84,1,Échenevex,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1154,,,Étrez,,,,
1155,84,1,Évosges,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1156,84,1,Faramans,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1157,84,1,Fareins,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1158,84,1,Farges,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1159,84,1,Feillens,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1160,84,1,Ferney-Voltaire,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1162,84,1,Flaxieu,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1163,84,1,Foissiat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1165,84,1,Francheleins,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1166,84,1,Frans,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1167,84,1,Garnerans,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1169,84,1,Genouilleux,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1170,84,1,Béard-Géovreissiat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1171,84,1,Géovreisset,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1172,,,Germagnat,,,,
1173,84,1,Gex,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1174,84,1,Giron,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1175,84,1,Gorrevod,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1176,,,Le Grand-Abergement,,,,
1177,84,1,Grand-Corent,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1179,84,1,Grièges,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1180,84,1,Grilly,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1181,84,1,Groissiat,Ain,Ain,Auvergne-Rhône-Alpes,Auvergne-Rhône-Alpes
1182,,,Groslée,,,,
